Removed Pin From Net: NetName=UIM_OUT1_PCB+ Pin=XP11-8
Removed Pin From Net: NetName=UIM_OUT1_PCB- Pin=XP11-9
Removed Pin From Net: NetName=UIM_OUT1_PCB Pin=XP11-10
Removed Pin From Net: NetName=UIM_OUT2_PCB+ Pin=XP11-11
Removed Pin From Net: NetName=UIM_OUT2_PCB- Pin=XP11-12
Removed Pin From Net: NetName=UIM_OUT2_PCB Pin=XP11-13
Removed Pin From Net: NetName=UIM_IN1_PCB Pin=XP11-14
Removed Pin From Net: NetName=UIM_IN2_PCB Pin=XP11-15
Removed Pin From Net: NetName=RS485_A_PCB Pin=XP11-16
Removed Pin From Net: NetName=RS485_B_PCB Pin=XP11-17
Removed Pin From Net: NetName=SVBP1_PCB Pin=XP11-18
Removed Pin From Net: NetName=SVBP2_PCB Pin=XP11-19
Removed Pin From Net: NetName=ADDR0_PCB Pin=XP11-29
Removed Pin From Net: NetName=ADDR1_PCB Pin=XP11-30
Removed Pin From Net: NetName=ADDR2_PCB Pin=XP11-31
Removed Pin From Net: NetName=ADDR3_PCB Pin=XP11-32
Removed Pin From Net: NetName=ADDR4_PCB Pin=XP11-33
Removed Pin From Net: NetName=ADDR5_PCB Pin=XP11-34
Change component parameters: Designator = "XS2" ("XS2"); Footprint = "PBD-40"; UniqueID = "\SHAPWPCQ" ("\SHAPWPCQ")
Change component parameters (AddParameter): Name = "Usage"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "40"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ViewControl"; Value = "Â, 10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "VoltageFact"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "VoltageLimit"; Value = "250"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "X_SORT_1"; Value = "700"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "X_SORT_2"; Value = "600"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "X_SORT_3"; Value = "1"; VariantName = "[No Variations]"
Added Component: Designator=XP12(PLD-40R)
Add component (AddParameter): Name = "Alternative"; Value = "PLD-40R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Alternative2"; Value = "ÑÍÏ346-40ÂÏ32-2 ÐÞÌÊ.430420.019ÒÓ"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Alternative3"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "CardKRR"; Value = "75"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "ÑÍÏ346"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "\\192.168.0.101\U_Base\PDF\X\ÑÍÏ346.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn01Name"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn02Name"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn03Name"; Value = "3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn04Name"; Value = "4"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn05Name"; Value = "5"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn06Name"; Value = "6"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn07Name"; Value = "7"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn08Name"; Value = "8"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn09Name"; Value = "9"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn10Name"; Value = "10"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn11Name"; Value = "11"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn12Name"; Value = "12"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn13Name"; Value = "13"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn14Name"; Value = "14"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn15Name"; Value = "15"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn16Name"; Value = "16"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn17Name"; Value = "17"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn18Name"; Value = "18"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn19Name"; Value = "19"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn20Name"; Value = "20"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn21Name"; Value = "21"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn22Name"; Value = "22"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn23Name"; Value = "23"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn24Name"; Value = "24"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn25Name"; Value = "25"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn26Name"; Value = "26"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn27Name"; Value = "27"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn28Name"; Value = "28"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn29Name"; Value = "29"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn30Name"; Value = "30"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn31Name"; Value = "31"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn32Name"; Value = "32"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn33Name"; Value = "33"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn34Name"; Value = "34"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn35Name"; Value = "35"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn36Name"; Value = "36"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn37Name"; Value = "37"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn38Name"; Value = "38"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn39Name"; Value = "39"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn40Name"; Value = "40"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "CurrentFact"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "CurrentLimit"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DataSheet"; Value = "#\\192.168.0.101\U_Base\PDF\X\ÑÍÏ346.pdf#"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DeliveryTime"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Group"; Value = "Ñîåäèíèòåëè"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "HelpURL"; Value = "\\192.168.0.101\U_Base\PDF\X\ÑÍÏ346.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "key"; Value = "338"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "ÀÎ «Êàðà÷åâñêèé çàâîä Ýëåêòðîäåòàëü»"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ManufacturerPartNumber"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ManufacturerTU"; Value = "ÐÞÌÊ.430420.011ÒÓ"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mark"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mass"; Value = "0,0024"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MilitaryControl"; Value = "ÂÏ"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Modify"; Value = "22.01.2019"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MountChoice"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MountType"; Value = "ÐÌ"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Name"; Value = "ÑÍÏ346-40ÂÏ32-2-Â"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Notice"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "PLD-R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartNumber"; Value = "Âèëêà ÑÍÏ346-40ÂÏ32-2-Â"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PowerFact"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PowerLimit"; Value = "250"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SolderName"; Value = "SNP346-40VP32-2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SolderTemperature"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tag"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "TemperatureRange"; Value = "îò ìèíóñ 60 äî 85"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Usage"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "40"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ViewControl"; Value = "Â, 10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "VoltageFact"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "VoltageLimit"; Value = "250"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "X_SORT_1"; Value = "700"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "X_SORT_2"; Value = "600"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "X_SORT_3"; Value = "1"; VariantName = "[No Variations]"
Added Pin To Net: NetName=UIM_OUT1_PCB+ Pin=XP11-12
Added Pin To Net: NetName=UIM_OUT1_PCB- Pin=XP11-13
Added Pin To Net: NetName=UIM_OUT1_PCB Pin=XP11-14
Added Pin To Net: NetName=UIM_OUT2_PCB+ Pin=XP11-15
Added Pin To Net: NetName=UIM_OUT2_PCB- Pin=XP11-16
Added Pin To Net: NetName=UIM_OUT2_PCB Pin=XP11-17
Added Pin To Net: NetName=UIM_IN1_PCB Pin=XP11-18
Added Pin To Net: NetName=UIM_IN2_PCB Pin=XP11-19
Added Pin To Net: NetName=RS485_A_PCB Pin=XP11-20
Added Pin To Net: NetName=RS485_B_PCB Pin=XP11-21
Added Pin To Net: NetName=SVBP1_PCB Pin=XP11-22
Added Pin To Net: NetName=SVBP2_PCB Pin=XP11-23
Added Pin To Net: NetName=ADDR0_PCB Pin=XP12-1
Added Pin To Net: NetName=ADDR1_PCB Pin=XP12-2
Added Pin To Net: NetName=ADDR2_PCB Pin=XP12-3
Added Pin To Net: NetName=ADDR3_PCB Pin=XP12-4
Added Pin To Net: NetName=ADDR4_PCB Pin=XP12-5
Added Pin To Net: NetName=ADDR5_PCB Pin=XP12-6
Added Pin To Net: NetName=VOLT1_PCB Pin=XP12-33
Added Pin To Net: NetName=VOLT2_PCB Pin=XP12-34
Added Pin To Net: NetName=VOLT3_PCB Pin=XP12-35
Added Pin To Net: NetName=VOLT4_PCB Pin=XP12-36
Added Pin To Net: NetName=VOLT5_PCB Pin=XP12-37
Added Pin To Net: NetName=VOLT6_PCB Pin=XP12-38
Added Pin To Net: NetName=VOLT7_PCB Pin=XP12-39
Added Pin To Net: NetName=VOLT8_PCB Pin=XP12-40
Added Pin To Net: NetName=TRM_SCL_PCB Pin=XP12-8
Added Net: Name=TRM_SCL_PCB
Added Pin To Net: NetName=TRM_SDA_PCB Pin=XP12-7
Added Net: Name=TRM_SDA_PCB
Added Member To Class: ClassName=SysUprTestUUUp Member=Component XP12 ConnectorP40
