Change Component Footprint: Designator=XP3 Old Footprint=PLD-40R New Footprint=PLD-40
Change component parameters: Designator = "XP3" ("XP3"); Footprint = "PLD-40R"; UniqueID = "\DDLPYBLP" ("\DDLPYBLP")
Change component parameters (AddParameter): Name = "Conn36Name"; Value = "REFL4"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn37Name"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn38Name"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn39Name"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn40Name"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "CurrentFact"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "CurrentLimit"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DataSheet"; Value = "#\\192.168.0.101\U_Base\PDF\X\ÑÍÏ346.pdf#"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DeliveryTime"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group"; Value = "Ñîåäèíèòåëè"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "HelpURL"; Value = "\\192.168.0.101\U_Base\PDF\X\ÑÍÏ346.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "key"; Value = "60"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "ÀÎ «Êàðà÷åâñêèé çàâîä Ýëåêòðîäåòàëü»"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ManufacturerPartNumber"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ManufacturerTU"; Value = "ÐÞÌÊ.430420.011ÒÓ"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mark"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mass"; Value = "0,0024"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MilitaryControl"; Value = "ÂÏ"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Modify"; Value = "19.09.2018"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MountChoice"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MountType"; Value = "ÐÌ"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Name"; Value = "ÑÍÏ346-40ÂÏ22-2-Â"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Notice"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "PLD"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartNumber"; Value = "Âèëêà ÑÍÏ346-40ÂÏ22-2-Â"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PowerFact"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PowerLimit"; Value = "250"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SolderName"; Value = "SNP346-40VP22-2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SolderTemperature"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tag"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "TemperatureRange"; Value = "îò ìèíóñ 60 äî 85"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Usage"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "40"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ViewControl"; Value = "Â, 10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "VoltageFact"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "VoltageLimit"; Value = "250"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "X_SORT_1"; Value = "700"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "X_SORT_2"; Value = "600"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "X_SORT_3"; Value = "1"; VariantName = "[No Variations]"
Added Member To Class: ClassName=SysUprTestUUConn Member=Component XS1 ConnectorS34
Added Member To Class: ClassName=SysUprTestUUConn Member=Component XS2 ConnectorS60
Added Member To Class: ClassName=SysUprTestUUConn Member=Component XS3 ConnectorS4
Added Member To Class: ClassName=SysUprTestUUConn Member=Component XS5 ConnectorS20
Added Member To Class: ClassName=SysUprTestUUConn Member=Component XS6 ConnectorS6
