Change Component Designator: OldDesignator=XP11 NewDesignator=XP1
Change Component Designator: OldDesignator=XP12 NewDesignator=XP2
Change Component Designator: OldDesignator=XS1 NewDesignator=XS3
Change Component Designator: OldDesignator=XS2 NewDesignator=XS5
Change Component Designator: OldDesignator=XS3 NewDesignator=XS6
Change Component Designator: OldDesignator=XS5 NewDesignator=XS1
Change component parameters: Designator = "XP11" ("XP1"); Footprint = "PLD-40R"; UniqueID = "\OQAQHYTE" ("\OQAQHYTE")
Change component parameters (AddParameter): Name = "Conn25Name"; Value = "UIM_OUT1_PCB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn26Name"; Value = "UIM_OUT2_PCB+"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn27Name"; Value = "UIM_OUT1_PCB+"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn28Name"; Value = "UIM_OUT1_PCB-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn29Name"; Value = "Not_Used"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn30Name"; Value = "Not_Used"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn31Name"; Value = "UART6_TX"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn32Name"; Value = "UART6_RX"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn33Name"; Value = "SPI_SS_PCB+"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn34Name"; Value = "SPI_SS_PCB-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn35Name"; Value = "SPI_CLK_PCB+"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn36Name"; Value = "SPI_CLK_PCB-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn37Name"; Value = "SPI_MISO_PCB+"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn38Name"; Value = "SPI_MISO_PCB-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn39Name"; Value = "SPI_MOSI_PCB+"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn40Name"; Value = "SPI_MOSI_PCB-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "CurrentFact"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "CurrentLimit"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DataSheet"; Value = "#\\192.168.0.101\U_Base\PDF\X\ÑÍÏ346.pdf#"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DeliveryTime"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group"; Value = "Ñîåäèíèòåëè"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "HelpURL"; Value = "\\192.168.0.101\U_Base\PDF\X\ÑÍÏ346.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "key"; Value = "338"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "ÀÎ «Êàðà÷åâñêèé çàâîä Ýëåêòðîäåòàëü»"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ManufacturerPartNumber"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ManufacturerTU"; Value = "ÐÞÌÊ.430420.011ÒÓ"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mark"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mass"; Value = "0,0024"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MilitaryControl"; Value = "ÂÏ"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Modify"; Value = "22.01.2019"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MountChoice"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MountType"; Value = "ÐÌ"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Name"; Value = "ÑÍÏ346-40ÂÏ32-2-Â"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Notice"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "PLD-R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartNumber"; Value = "Âèëêà ÑÍÏ346-40ÂÏ32-2-Â"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PowerFact"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PowerLimit"; Value = "250"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SolderName"; Value = "SNP346-40VP32-2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SolderTemperature"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tag"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "TemperatureRange"; Value = "îò ìèíóñ 60 äî 85"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Usage"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "40"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ViewControl"; Value = "Â, 10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "VoltageFact"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "VoltageLimit"; Value = "250"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "X_SORT_1"; Value = "700"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "X_SORT_2"; Value = "600"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "X_SORT_3"; Value = "1"; VariantName = "[No Variations]"
Change component parameters: Designator = "XS5" ("XS1"); Footprint = "PBD-34"; UniqueID = "\WQAPDQTM" ("\WQAPDQTM")
Change component parameters (AddParameter): Name = "Alternative"; Value = "PBD-34"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Alternative2"; Value = "ÑÍÏ346-34ÐÏ22-2 ÐÞÌÊ.430420.019ÒÓ"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Alternative3"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "CardKRR"; Value = "75"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "ÑÍÏ346"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "\\192.168.0.101\U_Base\PDF\X\ÑÍÏ346.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn01Name"; Value = "ENVELOP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn02Name"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn03Name"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn04Name"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn05Name"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn06Name"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn07Name"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn08Name"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn09Name"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn10Name"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn11Name"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn12Name"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn13Name"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn14Name"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn15Name"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn16Name"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn17Name"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn18Name"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn19Name"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn20Name"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn21Name"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn22Name"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn23Name"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn24Name"; Value = "UIM_IN"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn25Name"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn26Name"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn27Name"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn28Name"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn29Name"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn30Name"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn31Name"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn32Name"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn33Name"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn34Name"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn35Name"; Value = "35"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn36Name"; Value = "36"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn37Name"; Value = "37"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn38Name"; Value = "38"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn39Name"; Value = "39"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn40Name"; Value = "40"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "CurrentFact"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "CurrentLimit"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DataSheet"; Value = "#\\192.168.0.101\U_Base\PDF\X\ÑÍÏ346.pdf#"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DeliveryTime"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group"; Value = "Ñîåäèíèòåëè"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "HelpURL"; Value = "\\192.168.0.101\U_Base\PDF\X\ÑÍÏ346.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "key"; Value = "117"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "ÀÎ «Êàðà÷åâñêèé çàâîä Ýëåêòðîäåòàëü»"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ManufacturerPartNumber"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ManufacturerTU"; Value = "ÐÞÌÊ.430420.011ÒÓ"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mark"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mass"; Value = "0,00306"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MilitaryControl"; Value = "ÂÏ"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Modify"; Value = "19.09.2018"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MountChoice"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MountType"; Value = "ÐÌ"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Name"; Value = "ÑÍÏ346-34ÐÏ22-2-Â"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Notice"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "PBD"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartNumber"; Value = "Ðîçåòêà ÑÍÏ346-34ÐÏ22-2-Â"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PowerFact"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PowerLimit"; Value = "250"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SolderName"; Value = "SNP346-34RP22-2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SolderTemperature"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tag"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "TemperatureRange"; Value = "îò ìèíóñ 60 äî 85"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Usage"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "34"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ViewControl"; Value = "Â, 10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "VoltageFact"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "VoltageLimit"; Value = "250"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "X_SORT_1"; Value = "700"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "X_SORT_2"; Value = "600"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "X_SORT_3"; Value = "1"; VariantName = "[No Variations]"
Added Component: Designator=XP3(PLD-40R)
Add component (AddParameter): Name = "Alternative"; Value = "PLD-40R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Alternative2"; Value = "ÑÍÏ346-40ÂÏ32-2 ÐÞÌÊ.430420.019ÒÓ"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Alternative3"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "CardKRR"; Value = "75"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "ÑÍÏ346"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "\\192.168.0.101\U_Base\PDF\X\ÑÍÏ346.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn01Name"; Value = "MOSI+"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn02Name"; Value = "MOSI-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn03Name"; Value = "MISO+"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn04Name"; Value = "MISO-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn05Name"; Value = "SCK+"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn06Name"; Value = "SCK-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn07Name"; Value = "SS+"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn08Name"; Value = "SS-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn09Name"; Value = "SET+"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn10Name"; Value = "SET-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn11Name"; Value = "U2_RX"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn12Name"; Value = "U2_TX"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn13Name"; Value = "TRANSMITER1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn14Name"; Value = "TRANSMITER2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn15Name"; Value = "TRANSMITER3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn16Name"; Value = "TRANSMITER4"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn17Name"; Value = "VOLT1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn18Name"; Value = "VOLT2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn19Name"; Value = "VOLT3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn20Name"; Value = "VOLT4"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn21Name"; Value = "VOLT5"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn22Name"; Value = "GND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn23Name"; Value = "GND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn24Name"; Value = "GND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn25Name"; Value = "+5V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn26Name"; Value = "-5V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn27Name"; Value = "CLK"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn28Name"; Value = "LE1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn29Name"; Value = "DS1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn30Name"; Value = "DS2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn31Name"; Value = "DS3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn32Name"; Value = "DS4"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn33Name"; Value = "REFL1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn34Name"; Value = "REFL2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn35Name"; Value = "REFL3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn36Name"; Value = "REFL4"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn37Name"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn38Name"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn39Name"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn40Name"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "CurrentFact"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "CurrentLimit"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DataSheet"; Value = "#\\192.168.0.101\U_Base\PDF\X\ÑÍÏ346.pdf#"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DeliveryTime"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Group"; Value = "Ñîåäèíèòåëè"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "HelpURL"; Value = "\\192.168.0.101\U_Base\PDF\X\ÑÍÏ346.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "key"; Value = "338"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "ÀÎ «Êàðà÷åâñêèé çàâîä Ýëåêòðîäåòàëü»"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ManufacturerPartNumber"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ManufacturerTU"; Value = "ÐÞÌÊ.430420.011ÒÓ"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mark"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mass"; Value = "0,0024"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MilitaryControl"; Value = "ÂÏ"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Modify"; Value = "22.01.2019"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MountChoice"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MountType"; Value = "ÐÌ"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Name"; Value = "ÑÍÏ346-40ÂÏ32-2-Â"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Notice"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "PLD-R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartNumber"; Value = "Âèëêà ÑÍÏ346-40ÂÏ32-2-Â"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PowerFact"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PowerLimit"; Value = "250"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SolderName"; Value = "SNP346-40VP32-2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SolderTemperature"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tag"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "TemperatureRange"; Value = "îò ìèíóñ 60 äî 85"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Usage"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "40"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ViewControl"; Value = "Â, 10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "VoltageFact"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "VoltageLimit"; Value = "250"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "X_SORT_1"; Value = "700"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "X_SORT_2"; Value = "600"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "X_SORT_3"; Value = "1"; VariantName = "[No Variations]"
Added Component: Designator=XS2(PBD-60)
Add component (AddParameter): Name = "Alternative"; Value = "PBD-60"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Alternative2"; Value = "ÑÍÏ346-60ÐÏ22-2 ÐÞÌÊ.430420.019ÒÓ"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Alternative3"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "CardKRR"; Value = "75"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "ÑÍÏ346"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "\\192.168.0.101\U_Base\PDF\X\ÑÍÏ346.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn01Name"; Value = "GND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn02Name"; Value = "UIM_OUT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn03Name"; Value = "GND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn04Name"; Value = "SR_DS"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn05Name"; Value = "GND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn06Name"; Value = "SR_CLK"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn07Name"; Value = "GND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn08Name"; Value = "SR_EN1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn09Name"; Value = "GND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn10Name"; Value = "SR_EN2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn11Name"; Value = "GND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn12Name"; Value = "P_IN"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn13Name"; Value = "GND_A"; VariantName = "[No Variations]"
